id,clus,articles
234,german order logic mathematical,33
237,mathematic particularly club closed,18
235,mathematic measurable certain kind large,16
239,type large cardinal supercompact,14
236,reinhardt elementary embedding principle,13
238,transitive model clas subset similarly,11
