id,clus,articles
51,graph theory vertex note reference,347
54,vertex graph theory edge,329
56,data structure tree computer,244
53,complexity problem computational theory,230
46,problem optimization solution programming,171
47,external link reference group,131
49,directed graph network,92
55,combinatorial mathematics combinatorics,73
52,knot theory mathematical invariant,65
50,network topology node computer,34
48,surface representation structure computer graphic,27
