id,clus,articles
50,antiprism prism solid archimedean,268
46,coxeter dynkin facet image typeuniform,244
51,uniform polyhedron compound subgroup restricting,224
49,tilingvertex disk model hyperbolic,205
48,honeycombschlfli symbol hyperbolic space honeycomb,196
47,graph theory vertice mathematical field,165
45,projection coxeter planein dimensional geometry,153
